LIST OF WW2 SHIPS					
https://military-history.fandom.com/wiki/List_of_World_War_II_ships					
					
ID	Ship	Country	Type	Produksi	Fate
906	Meredith	USA	Gleaves class destroyer	1 March 1941	sunk 15 October 1942
907	Mervine	USA	Gleaves class destroyer	17 June 1942	decommissioned 1949, scrapped 1969
908	Miami	USA	Cleveland class light cruiser	28 December 1943	scrapped 1962
909	Miaoulis	Greece	Hunt (Type III) class escort destroyer	25 November 1942	Returned to Royal Navy 1959, scrapped 1960
910	Michel	Nazi Germany	auxiliary cruiser	7 September 1941 (former Polish freighter Bielsko)	sunk 17 October 1943
911	Mikuma	Empire of Japan	Mogami class heavy cruiser	29 August 1935	Sunk 6 June 1942
912	Milwaukee/Murmansk	USA,  USSR	Omaha class light cruiser	"20 June 1923; to USSR as Murmansk 20 April 1944"	scrapped 10 December 1949
913	Minas Geraes	Brazil	Minas Geraes-class battleship	6 January 1910	Decommissioned 20 September 1953
914	Minegumo	Empire of Japan	Asashio class destroyer		
915	Minneapolis	USA	New Orleans class heavy cruiser	19 May 1934	Decommissioned 10 February 1947, scrapped 1959
916	Miralda	UK	Rapana class merchant aircraft carrier and oil tanker	Jan 1944	"returned to merchant service post-war; renamed Marisa"
917	Misiones	Argentina	Buenos Aires class destroyer		Discarded 3 May 1971
918	Mississippi	USA	Mississippi-class battleship	1 February 1908	decommissioned 21 July 1914, sold to Greece, renamed Lemnos, sunk 23 April 1941
919	Mississippi	USA	New Mexico-class battleship	25 January 1917	decommissioned 1956 (for scrap)
920	Missouri	USA	Iowa-class battleship	11 June 1944	"decommissioned 1955, recommissioned 1984, decommissioned 1992; museum Pearl Harbor, Hawaii"
921	Mobile	USA	Cleveland class light cruiser	24 March 1943	scrapped 1960
922	Moffett	USA	Porter class destroyer leader	28 August 1936	scrapped 1947
923	Mogami	Empire of Japan	Mogami class heavy cruiser	1935	Sunk 25 October 1944
924	Mohawk	UK	Tribal class destroyer	7 September 1938	sunk 16 April 1941
925	Molotov	USSR	Maxim Gorkiy (Project 26 bis) class heavy cruiser	25 October 1940	decommissioned Feb 1956
926	Monaghan	USA	Farragut class destroyer	18 April 1935	foundered in typhoon 18 December 1944
927	Monowai	New Zealand	armed merchant cruiser	30 August 1940 (former passenger liner)	Decommissioned 18 June 1943, then landing ship
928	Monssen	USA	Gleaves class destroyer	14 March 1941	Sunk by Japanese warships off Guadalcanal 13 November 1942
929	Montcalm	France Free French	La Galissonniere class light cruiser	15 November 1937	Decommissioned 1 May 1957
930	Montclare	UK	Submarine tender	2 June 1942 (former AMC Montclare)	scrapped Oct 1954
931	Monterey	USA	Independence class light carrier	17 June 1943	decommissioned 16 January 1956, scrapped 1971
932	Montpelier	USA	Cleveland class light cruiser	9 September 1942	scrapped 1960
933	Montrose	UK	Admiralty leader class	14 September 1918	scrapped Jan 1946
934	Moreno	Argentina	Rivadavia-class battleship		scrapped Feb 1956
935	Morris	USA	Sims class destroyer	5 March 1940	scrapped 1947
936	Morrison	USA	Fletcher-class destroyer	18 December 1943	Sunk by kamikazes, 4 May 1945
937	Möwe	Nazi Germany	Raubvogel class torpedoboat	1 October 1926	sunk 15 June 1944
938	Mugford	USA	Bagley class destroyer	16 August 1937	scuttled after A-bomb test 1948
939	Murasame	Empire of Japan	Shiratsuyu class destroyer	7 January 1937	sunk 4 March 1943
940	Murphy	USA	Benson class destroyer	25 July 1942	decommissioned 1946, scrapped 1972
941	Musashi	Empire of Japan	Yamato-class battleship		sunk 25 October 1944
942	Mustin	USA	Sims class destroyer	15 September 1939	scuttled after A-bomb test 1948
943	Mutsu	Empire of Japan	Nagato-class battleship		sunk 8 June 1943
944	Muzio Attendolo	Kingdom of Italy	Montecuccoli class light cruiser	1935	lost 1942
945	My?k?	Empire of Japan	My?k?-class heavy cruiser	1929	scuttled by Royal Navy 8 June 1946
946	Nabob	UK	Ruler class escort aircraft carrier	7 September 1943 (former USS Edisto)	Decommissioned 30 September 1944, scrapped Dec 1977
947	Nachi	Empire of Japan	My?k? class heavy cruiser		sunk 5 November 1944
948	Nagara	Empire of Japan	Nagara class light cruiser		lost 7 August 1944
949	Nagato	Empire of Japan	Nagato-class battleship		sunk as target at Bikini, 29 July 1946
950	Nairana	UK	escort aircraft carrier	12 December 1943	sold into mercantile service as Port Victor 28 May 1948
951	Naka	Empire of Japan	Sendai class light cruiser	1925	sunk 17 February 1944
952	Narbada	India	Black Swan class sloop		Transferred to Pakistan 1948, renamed Jhelum
953	Nashville	USA	Brooklyn class light cruiser	6 June 1938	sold to Chile 1951 (Capitan Prat)
954	Natal	South Africa	Loch class frigate	9 March 1945	Decommissioned 1 September 1965
955	Natori	Empire of Japan	Nagara class light cruiser		lost 18 August 1944
956	Natsuzuki	Empire of Japan	Akizuki class destroyer	8 April 1945	scrapped after the war
957	Navarinon	Greece	E-class destroyer	5 April 1944, (former Echo)	Returned to Royal Navy and scrapped Apr 1956
958	HMS Nelson	UK	Nelson-class battleship	10 September 1927	decommissioned Feb 1948, scrapped Mar 1949
959	USS Nelson	USA	Gleaves-class destroyer	26 November 1942	decommissioned 1947, scrapped 1969
960	Neptune	UK	Leander class light cruiser	23 February 1934	lost 19 December 1941
961	Nevada	USA	Nevada-class battleship	11 March 1916	"decommissioned 29 July 1946; sunk as a target 31 July 1948"
962	New Jersey	USA	Iowa-class battleship	23 May 1943	decommissioned 1948, recommissioned 1968, decommissioned 1969, recommissioned 1983, decommissioned 1991. museum ship Camden, New Jersey
963	New Mexico	USA	New Mexico-class battleship	20 May 1918	Scrapped Nov 1947
964	New Orleans	USA	New Orleans-class heavy cruiser	12 April 1933	Decommissioned 10 February 1947, scrapped 1959
965	New York	USA	New York-class battleship	15 April 1914	decommissioned 29 August 1946, sunk as target at Bikini  8 July 1948
966	Newark	UK	Town class destroyer	26 November 1940 (former USS Ringgold)	scrapped Feb 1947
967	Newfoundland	UK	Fiji class light cruiser	21 January 1943	sold to Peru 1959, renamed Almirante Grau
968	Newmarket	UK	Town class destroyer	26 November 1940 (former USS Robinson)	scrapped Sep 1945
969	Newport	Norway	Town class destroyer	Mar 1942 (former HMS Newport)	Jun 1942, returned to RN
970	Niblack	USA	Gleaves class destroyer	1 August 1940	Sold 16 August 1973 and broken up for scrap
971	Nicholson	USA	Gleaves class destroyer	3 June 1941	to Italy 1951, sunk as target 1975
972	Niedersachsen	Nazi Germany	minelayer	20 December 1943 (former French transport Guyane, captured by Italy as Acqui 4 December 1942)	sunk 15 February 1944
973	Nields	USA	Benson class destroyer	15 January 1943	decommissioned 1946, scrapped 1972
974	Niels Juel	Denmark	Niels Juel class coastal defence ship	captured, renamed Nordland (Germany)	sunk 3 May 1945
975	Nigeria	UK	Fiji class cruiser	23 September 1940	sold to India 29 August 1957, renamed Mysore
976	Ning Hai	Republic of China (1912–1949)	light cruiser		became Ioshima (Japan)
977	Niobe	Nazi Germany	anti-aircraft cruiser	former Dutch Gelderland	sunk Kotka 16 July 1944
978	Norge	Norway	Eidsvold class coastal defence ship	7 February 1901	sunk 9 April 1940
979	North Carolina	USA	North Carolina-class battleship	9 April 1941	decommissioned 27 June 1947, museum ship Wilmington, North Carolina
980	Northampton	USA	Northampton class heavy cruiser	17 May 1930	lost 1 December 1942
981	Noshiro	Empire of Japan	Agano class light cruiser		Sunk 26 October 1944
982	Nubian	UK	Tribal class destroyer	6 December 1938	scrapped 1949
983	Nürnberg	Nazi Germany	light cruiser	2 November 1935	transferred to Soviet Union as Admiral Makarov, scrapped 1960
984	Oakland	USA	Atlanta-class light cruiser	17 July 1943	decommissioned 1949, scrapped 1959
985	O'Brien	USA	Sims-class destroyer	2 March 1940	sunk 19 October 1942
986	Ocean	UK	Colossus-class aircraft carrier	8 August 1945	scrapped May 1962
987	?i	Empire of Japan	Kuma-class light cruiser	10 October 1921	sunk by USS Flasher 19 July 1944
988	Okinoshima	Empire of Japan	minelayer	30 September 1936	sunk by USS S-42 12 May 1942
989	Oklahoma	USA	Nevada-class battleship	2 May 1916	"sunk at Pearl Harbor 7 December 1941; raised in 1943 and stricken in 1944; sank under tow in Pacific 1947"
990	Oklahoma City	USA	Cleveland-class light cruiser	22 December 1944	converted to missile cruiser 1960, sunk as target 1999
991	Oktyabrskaya Revolutsiya (originally Gangut)	Soviet Union	Gangut-class battleship	3 June 1909	scrapped 1959
992	Olav Tryggvason, later Brummer	Norway,then  Nazi Germany	minelayer	21 June 1934, in German service from 9 April 1940	Captured by the Germans 9 April 1940, renamed Brummer, sunk May 1945
993	Oldenburg	Nazi Germany	minelayer	captured 13 September 1943 (former Italian water tanker Garigiliano, first renamed Dwarsläufer)	returned to merchant service 1945
994	Omaha	USA	Omaha-class light cruiser	24 February 1923	Scrapped Feb 1946
995	Ordronaux	USA	Benson-class destroyer	13 February 1943	decommissioned 1947, scrapped 1973
996	Orella	Chile	Serrano-class destroyer		
997	Orion	UK	Leander-class light cruiser	18 January 1934	scrapped 1949
998	Orion	Nazi Germany	auxiliary cruiser	9 December 1939 (former freighter Kurmark)	sunk 4 May 1945
999	Orkan	Poland	M class destroyer	18 November 1942 (former HMS Myrmidon)	sunk 8 October 1943
1000	Orze?	Poland	Orze?-class submarine	2 February 1939	sunk 11 June 1940
1001	Ouragan	France Free French, Poland & UK	Bourrasque-class destroyer	19 January 1927	"Polish Navy 17 July 1940; transferred to Free French 30 April 1941 then to Royal Navy in 1943; scrapped 7 April 1949."
1002	?yodo	Empire of Japan	?yodo-class light cruiser	28 February 1943	sunk 25 July 1945
1003	Panther	Greece	Wild Beast class destroyer	19 October 1912	Decommissioned 1946
1004	Parana	Argentina	Rosario class gunboat		Sold 28 August 1958
1005	Parker	USA	Benson class destroyer	31 August 1942	decommissioned 1947, scrapped 1973
1006	Pasadena	USA	Cleveland class light cruiser	8 June 1944	scrapped 1970
1007	Patria	Cuba	gunboat		
1008	Patroclus	UK	Armed merchant cruiser	12 September 1939	sunk 4 November 1940
1009	Patroller	UK	Ruler class transport carrier	22 October 1943 (former USS Keneenaw)	Returned to USN 13 December 1946, scrapped Feb 1974
1010	Patterson	USA	Bagley class destroyer	22 September 1937	scrapped 1947
1011	Paul Jakobi	Nazi Germany	Type 1934A destroyer	29 June 1937	ceded to UK, then to France Feb 1946 and renamed Desaix, scrapped 1958
1012	Peder Skram	Denmark	Herluf Trolle class coastal defence ship	c.1908	became Adler (Germany), sold for scrap 1 May 1949[10]
1013	Pennsylvania	USA	Pennsylvania-class battleship	12 June 1916	Decommissioned 29 August 1946, sunk as target 10 February 1948
1014	Pensacola	USA	Pensacola-class heavy cruiser	6 February 1930	sunk as target 1948
1015	Perkins	USA	Mahan-class destroyer	18 September 1936	sunk 29 November 1942
1016	Perseus	UK	Colossus class aircraft maintenance ship	16 December 1944	transferred to France 6 August 1946, renamed Arromanches
1017	Perth	Australia	modified Leander class light cruiser	29 June 1939 (former HMS Amphion)	sunk 1 March 1942
1018	Phelps	USA	Porter class destroyer leader	26 February 1936	scrapped 1947
1019	Philadelphia	USA	Brooklyn class light cruiser	23 September 1937	transferred to Brazil as Almirante Barroso 1951, scrapped 1973
1020	Phoenix	USA	Brooklyn class light cruiser	3 October 1938	transferred to Argentina as General Belgrano 1951, sunk by HMS Conqueror in Falklands War on 2 May 1982
1021	Ping Hai	Republic of China (1912–1949)	light cruiser		became Yasoshima (Japan)
1022	Pindos	Greece	Hunt (Type III) class escort destroyer	27 June 1942	Returned to Royal Navy 1959, scrapped 1960
1023	Pinguin	Nazi Germany	Auxiliary cruiser	6 February 1940	sunk 8 May 1941
1024	Pioneer	UK	Colossus class aircraft maintenance ship	8 February 1945	scrapped Sep 1954
1025	Piorun	Poland	N class destroyer	4 November 1940 (former Nerissa)	returned to the Royal Navy 26 October 1946, renamed Noble
1026	Pittsburgh	USA	Baltimore class heavy cruiser	10 October 1944	decommissioned 1956, scrapped 1974
1027	Plunkett	USA	Gleaves class destroyer	17 July 1940	to Taiwan 1959, scrapped 1975
1028	Pluton	France	minelayer light cruiser	10 April 1931	lost 13 September 1939
1029	Pola	Kingdom of Italy	Zara class heavy cruiser	1932	sunk 28 March 1941
1030	Pompeo Magno	Kingdom of Italy	Capitani Romani class light cruiser (also known as exploratori oceanici)		
1031	Porter	USA	Porter class destroyer leader	25 August 1936	sunk 26 October 1942
1032	Portland	USA	Portland class heavy cruiser	23 February 1933	decommissioned 1946, scrapped 1959
1033	Portsmouth	USA	Cleveland class light cruiser	20 September 1944	scrapped 1974
1034	Premier	UK	Ruler class escort aircraft carrier	3 November 1943 (former USS Estero)	Returned to USN 2 April 1946, sold into mercantile service 1947, renamed Rhodesia Star
1035	Preston	USA	Mahan class destroyer	27 October 1936	sunk 14 November 1942
1036	Pretoria Castle	UK	Armed merchant cruiser, converted to escort aircraft carrier	28 November 1939	26 January 1946, reconverted to passenger liner & renamed Warwick Castle
1037	Primauguet	France	Duguay-Trouin-class light cruiser	1 April 1927	scuttled 8 November 1942
1038	Prince David	Canada	Armed Merchant Cruiser	28 December 1940	Broken up 1951
1039	Prince of Wales	UK	King George V-class battleship	31 March 1941	sunk 10 December 1941
1040	Princeton	USA	Independence class light carrier	25 February 1943	sunk 24 October 1944
1041	Prinz Eugen	Nazi Germany	enlarged Admiral Hipper-class heavy cruiser	1 August 1940	sunk after A-bomb test at Bikini in 1946
1042	Providence	USA	Cleveland class light cruiser	15 May 1945	converted to missile cruiser 1959, scrapped 1980
1043	Psara	Greece	modified Freccia class destroyer	1933	sunk 20 April 1941
1044	Puncher	UK	Ruler class escort aircraft carrier	5 February 1944 (former USS Willapa)	Returned to USN 16 January 1946, stricken 12 March 1946, sold into mercantile service renamed Muncaster Castle
1045	Punjab	India	Bathurst class minesweeper	20 March 1942	Decommissioned 1949
1046	Pursuer	UK	Attacker class escort aircraft carrier	14 June 1943 (former USS St George)	Returned to USN 12 February 1946, sold for scrap May 1946.
1047	Punjabi	UK	Tribal class destroyer	29 March 1939	sunk 1 May 1942
1048	Queen	UK	Ruler-class escort carrier	7 December 1943 (former USS St. Andrews)	Returned to USN 31 October 1946, sold into merchant service as Roebiah 29 July 1947
1049	Queen Elizabeth	UK	Queen Elizabeth-class battleship	22 December 1914	decommissioned 1948 and scrapped
1050	Quick	USA	Gleaves-class destroyer	3 July 1942	decommissioned 1949, scrapped 1973
1051	Quincy (CA-39)	USA	New Orleans-class heavy cruiser	9 June 1936	sunk 9 August 1942
1052	Quincy (CA-71)	USA	Baltimore-class heavy cruiser	Dec 1943	decommissioned 1954 and scrapped in 1974
1053	Raimondo Montecuccoli	Kingdom of Italy	Montecuccoli class light cruiser	1935	decommissioned 1964
1054	Rajah	UK	Ruler class escort aircraft carrier,	17 January 1944 (former USS Prince)	Returned to USN 13 December 1946, sold into mercantile service 7 July 1947, renamed Drente
1055	Rajputana	UK	Armed merchant cruiser	Dec 1939	sunk 13 April 1941
1056	Raleigh	USA	Omaha class light cruiser	6 February 1924	scrapped 1946
1057	Ralph Talbot	USA	Bagley class destroyer	14 October 1937	scuttled after A-bomb test, 1948
1058	Ramb I	Kingdom of Italy	Armed merchant cruiser	10 June 1940	sunk 27 February 1941
1059	Ramb II	Kingdom of Italy	Armed merchant cruiser	10 June 1940	"Taken over by the Japanese and renamed ""Calitea II"" - sunk on 12 January 1945 by US"
1060	Ramb III	Kingdom of Italy	Armed merchant cruiser	10 June 1940	Taken over by the Germans 9 September 1943, then in post-war service with the Yugoslav Navy
1061	Ramillies	UK	Revenge-class battleship	1 September 1917	Decommissioned 31 August 1945, scrapped 1949
1062	Ramsay	USA	Wickes class destroyer minelayer	15 February 1919	Decommissioned 19 October 1945, scrapped 1947
1063	Randolph	USA	Essex class fleet carrier	29 June 1944	decommissioned 13 February 1969, scrapped 1975
1064	Ranee	UK	Ruler class escort aircraft carrier,	2 June 1943 (former USS Niantic)	Returned USN 21 November 1946, sold into mercantile 1948, renamed Friesland
1065	Ranger	USA	aircraft carrier	4 June 1934	decommissioned 18 October 1946, scrapped 1947
1066	Rapana	UK	Rapana class merchant aircraft carrier and oil tanker	Jly 1943	"transferred to merchant service post-war; renamed Rotula"
1067	Ravager	UK	Ruler class escort aircraft carrier	25 April 1943 (former USN)	Returned to USN 26 February 1946, sold into merchant service as Robin Trent
1068	Rawalpindi	UK	Armed merchant cruiser	1 October 1939	Sunk 23 November 1939
1069	Razumny	USSR	Gnevny class destroyer	1941	foundered 1960s
1070	Reaper	UK	Ruler class escort aircraft carrier	21 February 1944 (former USS Winjah)	Returned to USN 20 May 1946, sold into merchant service as South Africa Star
1071	Redmill	UK	Captain class frigate	30 November 1943 (former USN)	declared total loss 27 April 1945, returned to USN 20 January 1947 and scrapped
1072	Reid	USA	Mahan class destroyer	2 November 1936	sunk 11 December 1944
1073	Reno	USA	Atlanta class light cruiser	28 December 1943	decommissioned 1946, scrapped 1962
1074	Renown	UK	Renown-class battlecruiser	20 September 1916	scrapped 1948
1075	Repulse	UK	Renown-class battlecruiser	18 August 1916	sunk 10 December 1941
1076	Resolution	UK	Revenge-class battleship	7 December 1916	scrapped 1949
1077	Reuben James	USA	Clemson class destroyer	24 September 1920	sunk by U-552, 31 October 1941
1078	Revenge	UK	Revenge-class battleship	1 February 1916	scrapped 1948
1079	Rhind	USA	Benham class destroyer	10 November 1939	scuttled after A-bomb test 1948
1080	Richard Beitzen	Nazi Germany	Type 1934 destroyer	13 May 1937	ceded to UK, scrapped 1947
1081	Richelieu	France Free French	Richelieu-class battleship	15 July 1940	scrapped 1968
1082	Richmond	UK USSR	Town class destroyer	26 November 1940 (former USS Fairfax)	transferred to USSR 16 July 1944 as Jivoochyi
1083	Richmond	USA	Omaha class light cruiser	2 July 1923	scrapped 1946
1084	Rio Grande do Sul	UK	Bahia class light cruiser	1910	scrapped 1948
1085	Riquelme	Chile	Serrano class destroyer		Discarded 1963
1086	Rivadavia	Argentina	Rivadavia-class battleship		scrapped Feb 1956
1087	Roberts	UK	Roberts class monitor	27 October 1941	scrapped June 1965
1088	Rodman	USA	Gleaves class destroyer	29 April 1942	to Taiwan 1955, damaged and struck 1969, destroyed for motion picture 1976
1089	Rodney	UK	Nelson-class battleship	10 November 1927	scrapped 1948
1090	Roe	USA	Sims-class destroyer	5 January 1940	scrapped 1947
1091	Roma	Kingdom of Italy	Littorio-class battleship	14 June 1942	sunk 9 September 1943
1092	Rosario	Argentina	Rosario-class gunboat		Sold 4 December 1959
1093	Rowan	USA	Benham-class destroyer	23 September 1939	sunk 11 September 1943
1094	Royal Oak	UK	Revenge-class battleship	1 May 1916	sunk 14 October 1939
1095	Royal Sovereign	UK	Revenge-class battleship	1 February 1916	transferred to USSR as Arkhangelsk 1944
1096	Ruler	UK	Ruler class escort aircraft carrier	22 December 1943 (former USS St. Joseph)	returned to USN 29 January 1946, scrapped 31 May 1946
1097	Russell	USA	Sims class destroyer	3 November 1939	scrapped 1947
1098	Ryuho	Empire of Japan	aircraft carrier		Scrapped in 1946
1099	Ry?j?	Empire of Japan	aircraft carrier		sunk 24 August 1942
1100	Sackville	Canada	Flower-class corvette	30 December 1941	Museum Ship in Halifax, Nova Scotia
1101	Sakawa	Empire of Japan	Agano class light cruiser	30 November 1944	sunk as target 2 July 1946
1102	Sakura	Empire of Japan	Matsu class destroyer	25 November 1944	sunk by mine 11 July 1945
1103	Salamis	Greece	B class destroyer	5 April 1944, (former Boreas	Returned to Royal Navy Sep 1951, scrapped Nov 1951
1104	Salt Lake City	USA	Pensacola class heavy cruiser	11 December 1929	sunk as target 1948
1105	Sampson	USA	Somers class destroyer leader	19 August 1938	scrapped 1946
1106	USS Samuel B. Roberts	USA	Butler class destroyer escort	28 April 1944	sunk 25 October 1944  Battle of Samar
1107	San Diego	USA	Atlanta class light cruiser	10 January 1942	decommissioned 1946, scrapped 1960
1108	San Francisco	USA	New Orleans class heavy cruiser	10 February 1934	Decommissioned 10 February 1946, scrapped 1959
1109	San Giorgio	Kingdom of Italy	San Giorgio class heavy cruiser	1 July 1910	decommissioned 22 January 1941
1110	San Jacinto	USA	Independence class light carrier	15 November 1943	decommissioned 1 March 1947, scrapped 1972
1111	San Juan	Argentina	Buenos Aires class destroyer		Discarded 1973
1112	San Juan	USA	Atlanta class light cruiser	28 February 1942	decommissioned 1946, scrapped 1961
1113	San Luis	Argentina	Buenos Aires class destroyer		Discarded 3 May 1971
1114	Santa Cruz	Argentina	Buenos Aires class destroyer		Discarded 1973
1115	Santa Fe	USA	Cleveland class light cruiser	24 November 1942	scrapped 1959
1116	São Paulo	Brazil	Minas Geraes-class battleship	12 July 1910	Sold 1951
1117	Saratoga	USA	Lexington class fleet carrier	16 November 1927	sunk as a target 1946
1118	Satterlee	USA	Gleaves class destroyer	1 July 1943	Decommissioned 16 March 1946, scrapped 1972
1119	Saumarez	UK	S class destroyer	1 July 1943	scrapped 1950
1120	Savannah	USA	Brooklyn-class light cruiser	10 March 1938	scrapped 1966
1121	Scharnhorst	Nazi Germany	Scharnhorst-class battleship	7 January 1939	sunk 26 December 1943
1122	Schlesien	Nazi Germany	Deutschland-class pre-dreadnought battleship	5 May 1908	blown up 4 May 1945
1123	Schleswig-Holstein	Nazi Germany	Deutschland-class pre-dreadnought battleship	6 July 1908	scrapped after 1946
1124	Schubrick	USA	Gleaves class destroyer	7 February 1943	scrapped 1947
1125	Scipione Africano	Kingdom of Italy	Capitani Romani class light cruiser (also known as exploratori oceanici)		
1126	Scylla	UK	Dido class anti-aircraft cruiser	12 June 1942	declared constructive total loss 23 June 1944, scrapped May 1950.
1127	Searcher	UK	Ruler class escort aircraft carrier	3 April 1943 (former USS St. Joseph)	Returned to USN 29 January 1946, sold 31 May 1946 and scrapped
1128	Seeadler	Nazi Germany	1923 (Raubvogel) class torpedoboat	1 May 1927	sunk 13 May 1942
1129	Selfridge	USA	Porter class destroyer leader	25 November 1936	scrapped 1947
1130	Semmes	USA	Clemson class destroyer	21 February 1920	scrapped 25 November 1946
1131	Sendai	Empire of Japan	Sendai class light cruiser	29 April 1924	sunk 2 November 1943
1132	Sénégalais	Free French	Cannon class destroyer escort	2 January 1944 (former USS Corbestier)	Renamed Yser 1962, decommissioned May 1964
1133	Serrano	Chile	Serrano class destroyer		Discarded 1967
1134	Seydlitz	Nazi Germany	Enlarged Admiral Hipper-class heavy cruiser	not completed	became Weser (Germany)
1135	S?p	Poland	Orze? class submarine	16 April 1939	decommissioned 15 September 1969
1136	Shah	UK	Ruler class escort aircraft carrier	27 September 1943 (former USS Jamaica)	Returned to USN 6 December 1945, sold into mercantile service 20 June 1947, renamed Salta
1137	Shangri-La	USA	Essex class fleet carrier	15 September 1944	decommissioned 30 July 1971, scrapped 1988
1138	Shaw	USA	Mahan class destroyer	18 September 1936	scrapped 1946
1139	Shinano	Empire of Japan	aircraft carrier	19 November 1944	sunk 29 November 1944
1140	Shinyo	Empire of Japan	aircraft carrier		sunk 17 November 1944
1141	Sh?h?	Empire of Japan	aircraft carrier		sunk 8 May 1942
1142	Sh?kaku	Empire of Japan	Shokaku class aircraft carrier	8 August 1941	sunk 19 June 1944
1143	Sikh	UK	Tribal class destroyer	12 October 1938	sunk 17 January 1941
1144	Sims	USA	Sims class destroyer	1 August 1939	sunk 7 May 1942
1145	Skagerak	Nazi Germany	Minelayer, converted former Norwegian merchant ship Skagerrak I	1940	Sunk 20 January 1944 by Bristol Beaufighters of No. 489 Squadron RNZAF
1146	Skeena	Canada	A class destroyer	10 June 1931	sunk 25 October 1944
1147	?l?zak	Poland	Hunt class destroyer	9 May 1942 (former HMS Bedale)	returned to Royal Navy, 28 September 1946.
1148	Slinger	UK	Ruler class escort aircraft carrier	11 August 1943 (former USS Chatham)	returned to USN 27 February 1946, sold into merchant service as Robin Mowbray
1149	Smiter	UK	Ruler class escort aircraft carrier	20 January 1944 (former USS Vermillion)	Returned to USN 6 April 1946, sold into merchant service as Artillero 6 April 1946
1150	Smith	USA	Mahan class destroyer	19 September 1936	scrapped 1946
1151	Soemba	Netherlands	Flores class sloop	12 April 1926	scrapped June/July 1985
1152	Sollum	Kingdom of Egypt	sloop		
1153	Somali	UK	Tribal class destroyer	12 December 1938	sunk 24 September 1942
1154	Somali	Free French	Cannon class destroyer escort	9 April 1944 (former USS Somali)	Disarmed 1956, used as an experimental vessel
1155	Somers	USA	Somers class destroyer leader	1 December 1937	scrapped 1947
1156	S?ry?	Empire of Japan	S?ry? class aircraft carrier		sunk 5 June 1942
1157	South Dakota	USA	South Dakota class class battleship	20 March 1942	decommissioned 31 January 1947, scrapped 1962
1158	Southampton	UK	Southampton class light cruiser	6 March 1937	bombed and scuttled 11 January 1941
1159	Speaker	UK	Ruler class escort aircraft carrier	20 November 1943 (former USS Delgada)	Returned to USN 17 July 1946, sold into merchant service as Lancero 1948
1160	Spetsai	Greece	modified Freccia class destroyer	1933	decommissioned 1946
1161	USS Springfield	USA	Cleveland class light cruiser	9 September 1944	converted to Providence Class Guided Missile Cruiser 1960, decommissioned 1974, scrapped 1980
1162	St Albans	Norway	Town class destroyer	Apr 1942 (former HMS St Albans)	returned to RN 1943
1163	St. Louis	USA	St. Louis class light cruiser	19 May 1939	to Brazil as Tamandare 1951, sunk under tow 1980
1164	USS St Paul	USA	Baltimore class heavy cruiser	17 February 1945	decommissioned 1971, scrapped 1980
1165	Stack	USA	Benham class destroyer	20 November 1939	scuttled after A-bomb test 1948
1166	Stalker	UK	Attacker class escort aircraft carrier	21 December 1942 (former USS Hamelin)	Returned to USN 29 December 1945, sold into merchant service as Riouw
1167	Sterett	USA	Benham class destroyer	15 August 1939	scrapped 1947
1168	Stevenson	USA	Gleaves class destroyer	15 December 1942	decommissioned 1946, scrapped 1970
1169	Stewart	USA Empire of Japan	Clemson class destroyer	15 September 1920	"scuttled 2 March 1942 at Surabaya, Java; raised and recommissioned as Patrol Boat No. 102, 20 September 1943"
1170	Stier	Nazi Germany	Auxiliary cruiser	25 November 1939 (former freighter Cairo)	sunk 27 September 1942
1171	Stockton	USA	Gleaves class destroyer	11 January 1943	decommissioned 1946, scrapped 1973
1172	Stord	Norway	S class destroyer	29 September 1943	scrapped 1959
1173	Strasbourg	France	Dunkerque-class battleship	Feb 1939	scuttled 27 November 1942
1174	Striker	UK	Attacker class escort aircraft carrier	29 April 1943 (former USS Prince William)	Returned to USN 12 February 1946, scrapped June 1946
1175	Suffren	France Free French	Suffren class heavy cruiser	1 January 1930	scrapped 1974
1176	Surprise	Free French	River class frigate	1944 (former HMS Torridge)	Transferred to Morocco 1964, renamed Al Maouna
1177	Sutlej	India	Black Swan class sloop	23 April 1941	
1178	Suzuya	Empire of Japan	Mogami class heavy cruiser	Oct 1937	sunk 25 October 1944
1179	Svenner	Norway	S class destroyer	1 June 1943	Sunk on D-Day, 6 June 1944
1180	Swale	South Africa	Loch class frigate	26 July 1945 (former HMS Swale)	Returned to Royal Navy Jan 1946, scrapped Feb 1955
1181	Swanson	USA	Gleaves class destroyer	29 May 1941	decommissioned 1945, scrapped 1972
1182	Sydney	Australia	modified Leander class light cruiser	24 September 1935	lost 19 November 1941
1183	T13 - T21	Nazi Germany	1937 class torpedo boat	1941/42	
1184	Taih?	Empire of Japan	aircraft carrier		Sunk 19 June 1944
1185	Taiy?	Empire of Japan	aircraft carrier		Sunk 18 August 1944
1186	Takao	Empire of Japan	Takao-class heavy cruiser	31 May 1932	Sunk 31 July 1945
1187	Tama	Empire of Japan	Cruiser	29 January 1921	Sunk 20 October 1944
1188	Tannenberg	Nazi Germany	minelayer	2 September 1939	9 July 1941
1189	Taranto	Kingdom of Italy	Light cruiser	1925 (former German Strassburg)	scuttled 23 September 1943
1190	Tarmo	Finland	escort and icebreaker		
1191	Tartar	UK	Tribal class destroyer	10 March 1939	Scrapped 22 February 1948
1192	Tatsuta	Empire of Japan	Tenryu-class light cruiser	31 May 1919	Sunk 13 March 1944
